7,#00FF00 
8,#00FF00 
9,#F4DC42 
10,#00FF00 
11,#00FF00 
12,#00FF00 
13,#00FF00 
14,#00FF00 
15,#F4DC42 
16,#00FF00 
17,#FF0000 
18,#F4DC42 
19,#00FF00 
20,#00FF00 
21,#00FF00 
22,#FF0000 
